SENSOR ID,DATE TIME,VALUE STANDARDIZED
102,2020-07-01 01:01:27,-16.66
103,2020-07-01 01:01:27,-16.99
104,2020-07-01 01:01:27,99.99
105,2020-07-01 01:01:27,-16.33
106,2020-07-01 01:01:27,-17.88
107,2020-07-01 01:01:27,-16.00
108,2020-07-01 01:01:27,-17.99
109,2020-07-01 01:01:27,-16.44
110,2020-07-01 01:01:27,-16.99
111,2020-07-01 01:01:27,-16.44
112,2020-07-01 01:01:27,-17.66
114,2020-07-01 01:01:27,99.99
113,2020-07-01 01:01:27,-17.99
115,2020-07-01 01:01:27,-16.22
116,2020-07-01 01:01:27,-16.55
118,2020-07-01 01:01:27,-17.77
117,2020-07-01 01:01:27,-16.00
101,2020-07-01 01:04:03,-17.44
102,2020-07-01 01:04:03,-16.66
103,2020-07-01 01:04:03,-16.88
104,2020-07-01 01:04:03,99.99
105,2020-07-01 01:04:03,-16.44
106,2020-07-01 01:04:03,-17.66
111,2020-07-01 01:04:03,-16.44
107,2020-07-01 01:04:03,-16.11
108,2020-07-01 01:04:03,-17.99
109,2020-07-01 01:04:03,-16.44
110,2020-07-01 01:04:03,-16.88
112,2020-07-01 01:04:03,-17.00
113,2020-07-01 01:04:03,-17.99
114,2020-07-01 01:04:03,99.99
115,2020-07-01 01:04:03,-17.99
116,2020-07-01 01:04:03,-16.55
117,2020-07-01 01:04:03,-17.99
118,2020-07-01 01:04:03,-17.88
101,2020-07-01 01:06:31,-18.33
102,2020-07-01 01:06:31,-16.33
103,2020-07-01 01:06:31,-16.55
104,2020-07-01 01:06:31,99.99
105,2020-07-01 01:06:31,-17.88
106,2020-07-01 01:06:31,-18.99
107,2020-07-01 01:06:31,-17.99
108,2020-07-01 01:06:31,-17.66
109,2020-07-01 01:06:31,-17.99
110,2020-07-01 01:06:31,-16.44
113,2020-07-01 01:06:31,-17.66
111,2020-07-01 01:06:31,-16.00
112,2020-07-01 01:06:31,-18.11
116,2020-07-01 01:06:31,-16.00
117,2020-07-01 01:06:31,-17.55
118,2020-07-01 01:06:31,-17.22
114,2020-07-01 01:06:31,99.99
115,2020-07-01 01:06:31,-17.11
101,2020-07-01 01:08:53,-19.55
102,2020-07-01 01:08:53,-17.99
103,2020-07-01 01:08:53,-16.22
104,2020-07-01 01:08:53,99.99
109,2020-07-01 01:08:53,-17.44
105,2020-07-01 01:08:53,-17.44
106,2020-07-01 01:08:53,-18.55
107,2020-07-01 01:08:53,-17.88
108,2020-07-01 01:08:53,-17.22
110,2020-07-01 01:08:53,-17.99
111,2020-07-01 01:08:53,-17.66
112,2020-07-01 01:08:53,-19.44
113,2020-07-01 01:08:53,-17.22
114,2020-07-01 01:08:53,99.99
115,2020-07-01 01:08:53,-18.66
116,2020-07-01 01:08:53,-17.55
117,2020-07-01 01:08:53,-17.11
118,2020-07-01 01:08:53,-18.66
101,2020-07-01 01:11:06,-19.11
102,2020-07-01 01:11:06,-17.77
103,2020-07-01 01:11:06,-16.11
104,2020-07-01 01:11:06,99.99
109,2020-07-01 01:11:06,-17.22
105,2020-07-01 01:11:06,-17.22
106,2020-07-01 01:11:06,-18.33
107,2020-07-01 01:11:06,-17.77
108,2020-07-01 01:11:06,-17.00
110,2020-07-01 01:11:06,-17.88
111,2020-07-01 01:11:06,-17.44
112,2020-07-01 01:11:06,-19.33
113,2020-07-01 01:11:06,-17.00
114,2020-07-01 01:11:06,99.99
115,2020-07-01 01:11:06,-18.44
116,2020-07-01 01:11:06,-17.33
117,2020-07-01 01:11:06,-18.88
118,2020-07-01 01:11:06,-18.33
101,2020-07-01 01:12:37,-19.66
102,2020-07-01 01:12:37,-17.99
103,2020-07-01 01:12:37,-16.44
104,2020-07-01 01:12:37,99.99
109,2020-07-01 01:12:37,-17.66
105,2020-07-01 01:12:37,-17.44
106,2020-07-01 01:12:37,-18.99
107,2020-07-01 01:12:37,-17.88
108,2020-07-01 01:12:37,-17.33
110,2020-07-01 01:12:37,-16.44
111,2020-07-01 01:12:37,-17.77
112,2020-07-01 01:12:37,-19.99
113,2020-07-01 01:12:37,-17.44
114,2020-07-01 01:12:37,99.99
115,2020-07-01 01:12:37,-17.00
116,2020-07-01 01:12:37,-17.99
117,2020-07-01 01:12:37,-17.33
118,2020-07-01 01:12:37,-18.44
101,2020-07-01 01:16:47,-18.66
102,2020-07-01 01:16:47,-16.44
103,2020-07-01 01:16:47,-16.77
104,2020-07-01 01:16:47,99.99
109,2020-07-01 01:16:47,-16.33
105,2020-07-01 01:16:47,-16.00
106,2020-07-01 01:16:47,-17.44
107,2020-07-01 01:16:47,-17.88
108,2020-07-01 01:16:47,-17.77
110,2020-07-01 01:16:47,-16.99
111,2020-07-01 01:16:47,-16.11
112,2020-07-01 01:16:47,-18.66
113,2020-07-01 01:16:47,-17.88
114,2020-07-01 01:16:47,99.99
115,2020-07-01 01:16:47,-17.55
116,2020-07-01 01:16:47,-16.44
117,2020-07-01 01:16:47,-17.88
118,2020-07-01 01:16:47,99.99
101,2020-07-01 01:18:17,-17.44
102,2020-07-01 01:18:17,-16.44
103,2020-07-01 01:18:17,-16.77
104,2020-07-01 01:18:17,99.99
105,2020-07-01 01:18:17,-16.11
106,2020-07-01 01:18:17,-17.55
107,2020-07-01 01:18:17,-17.99
108,2020-07-01 01:18:17,-17.88
109,2020-07-01 01:18:17,-16.33
110,2020-07-01 01:18:17,-16.88
111,2020-07-01 01:18:17,-16.22
112,2020-07-01 01:18:17,-17.22
113,2020-07-01 01:18:17,-17.88
114,2020-07-01 01:18:17,99.99
115,2020-07-01 01:18:17,-17.99
116,2020-07-01 01:18:17,-16.44
117,2020-07-01 01:18:17,-17.88
118,2020-07-01 01:18:17,99.99
101,2020-07-01 01:19:48,-16.00
102,2020-07-01 01:19:48,-16.66
103,2020-07-01 01:19:48,-16.99
104,2020-07-01 01:19:48,99.99
109,2020-07-01 01:19:48,-16.33
105,2020-07-01 01:19:48,-16.33
